S.No,Health Unit District,Achievement towards vaccination of 1st Dosage Covishield to HCW,Achievement towards vaccination of 2nd Dosage Covishield to HCW,Achievement towards vaccination of 1st Dosage Covishield to FLW,Achievement towards vaccination of 2nd Dosage Covishield to FLW,Achievement towards vaccination of 1st Dosage Covishield to beneficiaries of 18 years and less than 44 years age group,Achievement towards vaccination of 2nd Dosage Covishield to beneficiaries of 18 years and less than 44 years age group,Achievement towards vaccination of 1st Dosage Covishield to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Achievement towards vaccination of 2nd Dosage Covishield to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Achievement towards vaccination of 1st Dosage Covishield to 60+ years beneficiaries with Comorbidities,Achievement towards vaccination of 2nd Dosage Covishield to 60+ years beneficiaries with Comorbidities,Total Achievement of vaccination to beneficiaries under 1st Dose of Covishield,Total Achievement of vaccination to beneficiaries under 2nd Dose of Covishield,Achievement towards vaccination of 1st Dosage Covaxin to HCW,Achievement towards vaccination of 2nd Dosage Covaxin to HCW,Achievement towards vaccination of 1st Dosage Covaxin to FLW,Achievement towards vaccination of 2nd Dosage Covaxin to FLW,Achievement towards vaccination of 1st Dosage Covaxin to beneficiaries of 18 years and less than 44 years age group,Achievement towards vaccination of 2nd Dosage Covaxin to beneficiaries of 18 years and less than 44 years age group,Achievement towards vaccination of 1st Dosage Covaxin to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Achievement towards vaccination of 2nd Dosage Covaxin to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Achievement towards vaccination of 1st Dosage Covaxin to 60+ years beneficiaries with Comorbidities,Achievement towards vaccination of 2nd Dosage Covaxin to 60+ years beneficiaries with Comorbidities,Total Achievement of vaccination to beneficiaries under 1st Dose of Covaxin,Total Achievement of vaccination to beneficiaries under 2nd Dose of Covaxin,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to HCW,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to HCW,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to FLW,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to FLW,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to beneficiaries of 18 years and less than 44 years age group,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to beneficiaries of 18 years and less than 44 years age group,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to 60+ years beneficiaries with Comorbidities,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to 60+ years beneficiaries with Comorbidities,Total Achievement towards vaccination to beneficiaries under 1st Dose of Covishield and Covaxin,Total Achievement towards vaccination to beneficiaries under 2nd Dose of Covishield and Covaxin,Total Achievement towards vaccination of Covishield and Covaxin (1st and 2nd Dose)
1,Aranthangi,2374,1231,2277,866,26869,0,24192,4668,12218,2750,67930,9515,129,77,297,119,4276,0,3386,984,904,354,8992,1534,2503,1308,2574,985,31145,0,27578,5652,13122,3104,76922,11049,87971
2,Ariyalur,4069,2593,9037,4563,32986,0,28867,3879,13301,2685,88260,13720,154,131,803,498,4436,0,2809,803,533,202,8735,1634,4223,2724,9840,5061,37422,0,31676,4682,13834,2887,96995,15354,112349
3,Attur,5548,4971,9933,3670,34590,33,76969,20255,41823,11796,168863,40725,148,327,231,91,5157,7,6340,3452,3009,1668,14885,5545,5696,5298,10164,3761,39747,40,83309,23707,44832,13464,183748,46270,230018
4,Chengalpet,22115,8575,22380,6485,104500,0,102692,29009,89426,30757,341113,74826,2576,1695,1297,1048,21341,232,12004,6720,6660,4332,43878,14027,24691,10270,23677,7533,125841,232,114696,35729,96086,35089,384991,88853,473844
5,Chennai,79789,42940,151967,30113,288163,753,517048,155469,364361,167973,1401328,397248,18063,10664,50428,28874,79898,2112,138058,103479,96495,71362,382942,216491,97852,53604,202395,58987,368061,2865,655106,258948,460856,239335,1784270,613739,2398009
6,Cheyyar,2386,1732,3869,1842,41273,0,19248,3524,8509,2813,75285,9911,245,162,427,220,6293,137,4503,2353,2461,1655,13929,4527,2631,1894,4296,2062,47566,137,23751,5877,10970,4468,89214,14438,103652
7,Coimbatore,42168,23014,23517,27871,133224,0,209412,37941,166210,54404,574531,143230,2893,3772,2638,4908,35350,256,30021,11620,20268,8625,91170,29181,45061,26786,26155,32779,168574,256,239433,49561,186478,63029,665701,172411,838112
8,Cuddalore,8017,4768,12571,3890,90629,0,80937,19962,38481,12990,230635,41610,1688,886,1993,1111,12055,12,14930,9749,8521,4939,39187,16697,9705,5654,14564,5001,102684,12,95867,29711,47002,17929,269822,58307,328129
9,Dharmapuri,8912,5777,14363,6943,62889,0,47000,8592,20831,5045,153995,26357,961,542,744,409,9836,306,7255,3135,3461,1736,22257,6128,9873,6319,15107,7352,72725,306,54255,11727,24292,6781,176252,32485,208737
10,Dindigul,6980,3683,11699,5626,53229,5,36624,9127,23198,6863,131730,25304,698,198,657,452,6520,0,6181,2585,4052,2324,18108,5559,7678,3881,12356,6078,59749,5,42805,11712,27250,9187,149838,30863,180701
11,Erode,13811,7199,12201,4352,97236,5,76318,14272,54038,15261,253604,41089,1628,792,1894,681,19611,9,16463,7023,10718,5290,50314,13795,15439,7991,14095,5033,116847,14,92781,21295,64756,20551,303918,54884,358802
12,Kallakurichi,5287,3899,7708,4494,56564,1,34053,6223,20276,5597,123888,20214,236,179,455,235,9146,8,4685,1510,1957,948,16479,2880,5523,4078,8163,4729,65710,9,38738,7733,22233,6545,140367,23094,163461
13,Kanchipuram,10059,5845,6933,2464,67833,0,34856,8261,16556,6154,136237,22724,974,557,601,366,8687,0,2906,1730,2069,1059,15237,3712,11033,6402,7534,2830,76520,0,37762,9991,18625,7213,151474,26436,177910
14,Karur,6146,2982,7176,2377,50911,0,46348,10577,13430,4130,124011,20066,411,173,816,364,10415,795,6702,2486,2141,913,20485,4731,6557,3155,7992,2741,61326,795,53050,13063,15571,5043,144496,24797,169293
15,Kovilpatti,2567,1858,3209,1787,29491,0,23327,3533,17023,4486,75617,11664,368,474,358,309,8285,9,3130,1181,2167,1234,14308,3207,2935,2332,3567,2096,37776,9,26457,4714,19190,5720,89925,14871,104796
16,Krishnagiri,9646,5678,15051,5794,94270,0,74937,20143,36256,11994,230160,43609,562,423,1014,523,18917,4,9181,6336,5131,3375,34805,10661,10208,6101,16065,6317,113187,4,84118,26479,41387,15369,264965,54270,319235
17,Madurai,27747,17206,20354,6640,113761,42,124593,26509,78264,28512,364719,78909,3602,2564,790,361,15573,46,14608,8824,8083,5753,42656,17548,31349,19770,21144,7001,129334,88,139201,35333,86347,34265,407375,96457,503832
18,Nagapattinam,4379,2808,12381,6230,57973,1,33752,5863,21149,5339,129634,20241,452,311,448,277,9985,13,6512,2249,3292,1966,20689,4816,4831,3119,12829,6507,67958,14,40264,8112,24441,7305,150323,25057,175380
19,Kanyakumari,16817,9495,15048,7145,78498,217,64252,13765,40473,12807,215088,43429,993,302,388,204,15239,473,10133,4320,5594,3397,32347,8696,17810,9797,15436,7349,93737,690,74385,18085,46067,16204,247435,52125,299560
20,Namakkal,8450,4789,18372,7917,77490,0,73499,20537,46547,16710,224358,49953,492,408,2547,1264,14479,317,12796,6692,7831,4485,38145,13166,8942,5197,20919,9181,91969,317,86295,27229,54378,21195,262503,63119,325622
21,Palani,2954,2653,11693,5901,34839,795,30259,6795,17309,4758,97054,20902,145,64,741,245,4343,0,4672,2657,2198,1045,12099,4011,3099,2717,12434,6146,39182,795,34931,9452,19507,5803,109153,24913,134066
22,Paramakudi,2331,1742,3692,2284,27183,0,24743,3707,16380,3424,74329,11157,89,44,324,228,3919,93,2699,719,1470,527,8501,1611,2420,1786,4016,2512,31102,93,27442,4426,17850,3951,82830,12768,95598
23,Perambalur,3206,2247,4382,2230,26137,0,20168,4074,12387,2881,66280,11432,231,227,87,163,5682,52,2183,558,794,449,8977,1449,3437,2474,4469,2393,31819,52,22351,4632,13181,3330,75257,12881,88138
24,Poonamallee,4199,1964,8154,3521,28486,46,31715,8114,19353,6650,91907,20295,107,55,97,47,7127,27,3126,1332,799,606,11256,2067,4306,2019,8251,3568,35613,73,34841,9446,20152,7256,103163,22362,125525
25,Pudukkottai,3516,1872,4302,1205,34195,3,35571,6608,16306,4904,93890,14592,1102,622,609,309,6879,87,3494,2080,1742,1083,13826,4181,4618,2494,4911,1514,41074,90,39065,8688,18048,5987,107716,18773,126489
26,Ramanathapuram,3573,2300,4220,2484,28316,392,20460,2761,8677,1986,65246,9923,457,303,968,538,4015,255,3444,1310,1588,792,10472,3198,4030,2603,5188,3022,32331,647,23904,4071,10265,2778,75718,13121,88839
27,Ranipet,3578,1744,12810,3563,50792,0,27176,5020,15469,3666,109825,13993,140,140,383,187,4539,0,4916,2584,2282,1120,12260,4031,3718,1884,13193,3750,55331,0,32092,7604,17751,4786,122085,18024,140109
28,Salem,19499,12520,22619,11475,111295,0,78689,25460,48382,20490,280484,69945,2304,975,1556,970,13706,0,25959,14020,14689,6494,58214,22459,21803,13495,24175,12445,125001,0,104648,39480,63071,26984,338698,92404,431102
29,Sivaganga,10783,10499,10541,3880,51925,11,30354,2928,29896,2138,133499,19456,1004,1467,699,1192,7757,99,7220,1627,5672,1296,22352,5681,11787,11966,11240,5072,59682,110,37574,4555,35568,3434,155851,25137,180988
30,Sivakasi,6027,3429,7769,2977,47028,436,59980,16613,34145,12339,154949,35794,292,137,126,51,7232,87,4051,1054,986,528,12687,1857,6319,3566,7895,3028,54260,523,64031,17667,35131,12867,167636,37651,205287
31,Tenkasi,5680,2799,12438,4513,59305,0,35088,8941,21351,7628,133862,23881,216,38,388,78,9218,0,4660,1183,2490,733,16972,2032,5896,2837,12826,4591,68523,0,39748,10124,23841,8361,150834,25913,176747
32,Thanjavur,12113,7442,23795,11392,93413,80,69340,16468,43803,14063,242464,49445,2838,1884,1077,795,13404,2,10258,4872,6813,4063,34390,11616,14951,9326,24872,12187,106817,82,79598,21340,50616,18126,276854,61061,337915
