S.No,Health Unit District,Session planned for Covishield,Session held for Covishield,Achievement towards vaccination of 1st Dosage Covishield to HCW,Achievement towards vaccination of 2nd Dosage Covishield to HCW,Achievement towards vaccination of 1st Dosage Covishield to FLW,Achievement towards vaccination of 2nd Dosage Covishield to FLW,Achievement towards vaccination of 1st Dosage Covishield to beneficiaries of 18 years and less than 44 years age group,Achievement towards vaccination of 2nd Dosage Covishield to beneficiaries of 18 years and less than 44 years age group,Achievement towards vaccination of 1st Dosage Covishield to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Achievement towards vaccination of 2nd Dosage Covishield to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Achievement towards vaccination of 1st Dosage Covishield to 60+ years beneficiaries with Comorbidities,Achievement towards vaccination of 2nd Dosage Covishield to 60+ years beneficiaries with Comorbidities,Total Achievement of vaccination to beneficiaries under 1st Dose of Covishield,Total Achievement of vaccination to beneficiaries under 2nd Dose of Covishield,Session planned for Covaxin,Session held for Covaxin,Achievement towards vaccination of 1st Dosage Covaxin to HCW,Achievement towards vaccination of 2nd Dosage Covaxin to HCW,Achievement towards vaccination of 1st Dosage Covaxin to FLW,Achievement towards vaccination of 2nd Dosage Covaxin to FLW,Achievement towards vaccination of 1st Dosage Covaxin to beneficiaries of 18 years and less than 44 years age group,Achievement towards vaccination of 2nd Dosage Covaxin to beneficiaries of 18 years and less than 44 years age group,Achievement towards vaccination of 1st Dosage Covaxin to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Achievement towards vaccination of 2nd Dosage Covaxin to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Achievement towards vaccination of 1st Dosage Covaxin to 60+ years beneficiaries with Comorbidities,Achievement towards vaccination of 2nd Dosage Covaxin to 60+ years beneficiaries with Comorbidities,Total Achievement of vaccination to beneficiaries under 1st Dose of Covaxin,Total Achievement of vaccination to beneficiaries under 2nd Dose of Covaxin,Total Session planned for Covishield and Covaxin,Total Session held for Covishield and Covaxin,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to HCW,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to HCW,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to FLW,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to FLW,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to beneficiaries of 18 years and less than 44 years age group,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to beneficiaries of 18 years and less than 44 years age group,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to beneficiaries of 45 years and less than 60 years age group with Comorbidities,Total Achievement towards vaccination of 1st Dosage Covishield and Covaxin to 60+ years beneficiaries with Comorbidities,Total Achievement towards vaccination of 2nd Dosage Covishield and Covaxin to 60+ years beneficiaries with Comorbidities,Total Achievement towards vaccination to beneficiaries under 1st Dose of Covishield and Covaxin,Total Achievement towards vaccination to beneficiaries under 2nd Dose of Covishield and Covaxin,Total Achievement towards vaccination of Covishield and Covaxin (1st and 2nd Dose)
1,Aranthangi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,126,0,53,181,17,40,196,221,6,6,0,0,0,0,126,0,53,181,17,40,196,221,417
2,Ariyalur,66,66,0,0,0,0,1395,0,615,73,84,2,2094,75,14,14,0,0,0,0,110,0,50,28,0,0,160,28,80,80,0,0,0,0,1505,0,665,101,84,2,2254,103,2357
3,Attur,51,51,0,0,0,0,426,3,160,2,84,2,670,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,0,0,426,3,160,2,84,2,670,7,677
4,Chengalpet,20,20,0,0,0,10,1562,0,510,88,70,16,2142,114,20,20,0,0,0,2,2034,135,547,137,122,50,2703,324,40,40,0,0,0,12,3596,135,1057,225,192,66,4845,438,5283
5,Chennai,43,43,33,20,35,135,2111,116,828,448,153,120,3160,839,124,124,9,66,30,646,8180,1776,2153,2357,578,562,10950,5407,167,167,42,86,65,781,10291,1892,2981,2805,731,682,14110,6246,20356
6,Cheyyar,52,52,1,4,0,5,1122,0,653,55,159,8,1935,72,13,13,0,5,0,2,470,137,189,80,28,28,687,252,65,65,1,9,0,7,1592,137,842,135,187,36,2622,324,2946
7,Coimbatore,145,145,105,113,208,216,8561,0,7010,701,3346,870,19230,1900,59,59,19,17,1,20,3907,97,1069,96,533,71,5529,301,204,204,124,130,209,236,12468,97,8079,797,3879,941,24759,2201,26960
8,Cuddalore,25,25,0,1,0,0,589,0,259,57,16,8,864,66,2,2,0,2,0,4,1501,12,799,83,115,18,2415,119,27,27,0,3,0,4,2090,12,1058,140,131,26,3279,185,3464
9,Dharmapuri,56,56,0,0,0,0,33,0,0,38,0,0,33,38,9,9,0,0,0,16,625,273,272,101,16,8,913,398,65,65,0,0,0,16,658,273,272,139,16,8,946,436,1382
10,Dindigul,8,8,0,0,0,10,1115,1,262,61,123,24,1500,96,2,2,1,0,0,28,145,0,80,90,18,62,244,180,10,10,1,0,0,38,1260,1,342,151,141,86,1744,276,2020
11,Erode,4,4,0,2,0,0,100,0,20,16,43,6,163,24,75,75,9,18,10,6,5626,0,3292,401,1144,193,10081,618,79,79,9,20,10,6,5726,0,3312,417,1187,199,10244,642,10886
12,Kallakurichi,1,1,0,0,0,0,55,0,25,2,6,0,86,2,7,7,0,0,0,2,748,8,316,20,103,5,1167,35,8,8,0,0,0,2,803,8,341,22,109,5,1253,37,1290
13,Kanchipuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27,12,36,18,780,0,47,25,49,18,939,73,1,1,27,12,36,18,780,0,47,25,49,18,939,73,1012
14,Karur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,863,436,238,360,5,23,1106,819,2,2,0,0,0,0,863,436,238,360,5,23,1106,819,1925
15,Kovilpatti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,6,0,6,472,9,217,40,91,17,781,78,5,5,1,6,0,6,472,9,217,40,91,17,781,78,859
